SAMPLEID,ANSWERDATE,性別,年代,居住地方,結婚,子ども,世帯年収,職業,建築タイプ,,,,,,,,,,Q7S1,Q7S7,Q7S8,Q7S9,Q7S10,Q7S11,Q8S12,Q9S4,Q9S5,Q9S15,Q10S1,Q10S2,Q10S3,Q10S4,Q10S5,Q10S6,Q10S7,Q10S8,Q10S9,Q10S10,Q10S11,Q10S12,Q10S13,Q10S14,Q10S15,Q11S4,Q11S5,Q11S6,Q11S7,Q11S11,Q11S12,Q11S13,Q11S15,Q12S1,Q7S2,Q7S3,Q7S4,Q7S5,Q7S6,Q7S12,Q7S13,Q7S14,Q7S15,Q8S1,Q8S2,Q8S3,Q8S4,Q8S5,Q8S6,Q8S7,Q8S8,Q8S9,,Q8S11,Q8S13,Q8S14,Q8S15,Q9S1,Q9S2,Q9S3,Q9S6,Q9S7,Q9S8,Q9S9,Q9S10,Q9S11,Q9S12,Q9S13,Q9S14,Q11S1,Q11S2,Q11S3,Q11S8,Q11S9,Q11S14,Q12S2,Q12S3,Q12S4,Q12S5,Q12S6,Q12S7
47171086,2024/12/9 21:04,女性,50代,中国・四国・九州・沖縄地方,未婚,子どもなし,400万未満,会社員,住宅,3.4,4.25,3.125,-3,3.5,4.5,4.5,4,4.125,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,5,3,3,4,3,3,2,4,3,3,2,3,4,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,3,3,4,4,4,4,4,4,4,2,4,3,3,3,4,4,4,3,3,3,3,4,3,2,3,3,4,3
47880690,2024/12/10 0:05,女性,50代,中部地方,未婚,子どもあり,,会社員,住宅,4.8,5,4,-3.875,3.5,5.5,3.5,5,4.375,4,3,2,2,4,4,3,5,5,5,4,3,3,3,4,2,5,5,4,4,5,5,5,5,4,5,5,3,5,4,2,4,4,4,2,2,2,4,2,4,2,4,4,4,4,3,2,2,3,2,3,4,4,5,4,4,4,4,2,5,5,3,5,5,3,4,3,4,4,4,3,4,4,4,3,2,2,4,3,4,4
50760630,2024/12/10 14:52,女性,50代,近畿地方,既婚,子どもあり,400〜800万未満,会社員,住宅,3.4,5.75,2.875,-2.375,3,6.5,3.5,4,4.25,5,5,5,5,5,5,5,5,5,5,5,3,5,5,4,3,5,5,5,5,4,5,5,5,5,5,5,4,5,4,4,3,5,5,5,5,5,5,5,3,4,2,5,5,4,2,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,4,3,4,3,4,4,5,4,5,5,4,4,2,5,3,2,2,4,3,5
3811365,2024/12/10 16:21,女性,50代,中部地方,既婚,子どもなし,1200万以上,経営者・役員,住宅,3.2,5.25,3.5,-2.125,3.5,4.5,3.5,4.5,4,5,5,4,3,4,5,4,5,5,5,5,3,4,4,1,3,4,5,3,5,5,4,4,4,3,4,5,3,4,2,4,1,4,4,4,4,3,4,1,5,5,3,3,4,4,2,1,4,4,4,3,2,3,2,3,4,4,5,5,5,2,5,5,4,3,3,2,4,5,5,3,1,2,3,2,4,2,4,1,1,3
3942459,2024/12/9 16:28,女性,50代,関東地方,未婚,子どもなし,400〜800万未満,会社員,住宅,3,4.5,3.625,-2.25,5,5,3.5,3.5,4.25,3,4,3,3,4,3,3,3,4,4,4,3,3,4,4,2,4,3,4,3,3,2,2,3,3,3,4,3,4,3,3,4,3,2,4,3,4,4,4,3,3,4,4,3,4,4,2,3,4,3,4,3,3,3,4,4,2,4,4,3,4,3,3,3,4,4,4,3,4,3,4,3,3,3,3,4,3,4,4,3,4
3956020,2024/12/9 20:06,女性,50代,関東地方,既婚,子どもなし,400〜800万未満,会社員,住宅,4,4,2,-2.875,4,4,4,4,4,3,3,2,3,2,3,2,3,3,3,3,3,2,2,2,2,3,2,2,2,3,3,3,3,3,2,3,3,2,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,2,3,3,3,2,3,3,2,3,3,3,2,3,2,3,3,3,2,2,3,2,2,3,3,2,3,2,2,2,3,2
4097731,2024/12/9 18:00,女性,50代,中部地方,既婚,子どもあり,800～1200万未満,公務員,住宅,4.2,6,3.875,-4.25,5,5,2,2,3.5,4,4,4,4,5,4,4,5,5,4,4,4,4,4,3,3,4,4,4,4,5,5,4,5,5,5,4,5,5,4,3,4,4,4,4,2,4,3,4,4,4,4,5,5,4,4,4,4,5,5,3,4,4,4,4,4,5,5,5,4,5,5,5,4,4,4,4,5,5,4,5,5,5,4,4,5,3,5,2,3,5
5111475,2024/12/9 19:28,女性,50代,中国・四国・九州・沖縄地方,既婚,子どもなし,800～1200万未満,会社員,住宅,5.2,3.75,3.25,-2,3.5,4,4,4,3.875,4,3,3,3,3,3,3,3,3,3,4,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3
6683122,2024/12/10 16:32,女性,50代,関東地方,既婚,子どもあり,800～1200万未満,会社員,住宅,3.6,4.75,1.125,-3,1,4.5,1.5,3,2.5,4,4,4,4,4,5,5,5,5,5,3,2,5,4,1,1,5,5,4,4,5,5,5,5,4,4,5,5,5,4,4,4,4,3,4,5,4,4,3,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,5,4,3,2,3,4,4,5,3
7481253,2024/12/10 16:33,女性,50代,関東地方,未婚,子どもあり,400万未満,会社員,住宅,3.4,2,4.125,-3.5,2,6,3,2.5,3.375,1,1,1,2,2,3,3,3,3,3,2,2,3,3,3,3,3,1,3,4,2,3,3,3,2,4,3,3,2,3,3,3,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,3,3,2,2,3,3,3,3,2,2,2,2,2,2,3,2,3,4,5,3,4,3,3,3,4,1,2,3,1,1,2,2,2,2
8656759,2024/12/10 16:20,女性,50代,中部地方,未婚,子どもなし,400〜800万未満,会社員,住宅,4.4,5,3.25,-3.125,4,5,4,3.5,4.125,5,5,4,3,4,4,4,4,5,4,4,3,4,3,3,3,4,4,4,4,4,4,4,4,3,4,4,3,4,2,4,2,3,2,2,2,4,3,4,4,4,4,4,5,4,4,5,2,3,4,3,4,3,2,2,4,4,4,4,4,4,2,2,3,3,4,3,4,4,5,4,3,3,3,3,3,3,4,2,2,3
39813200,2024/12/9 17:03,女性,50代,中国・四国・九州・沖縄地方,未婚,子どもなし,400〜800万未満,経営者・役員,住宅,6,6,3.5,-1.5,3.5,4,4,5,4.125,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,4,4,5,5,5,5,5,5,5,5,5,2,1,5,5,4,4,3,2,1,4,5,5,5,5,5,5,5,5,5,3,3,2,4,5,5,5,3,5,5,5,5,1,5,1,5,4
40259493,2024/12/9 18:37,女性,50代,関東地方,既婚,子どもあり,400〜800万未満,会社員,住宅,2.8,4,3.375,-5.125,4,5,3.5,2.5,3.75,4,3,2,2,4,4,2,4,2,2,1,3,2,2,1,1,1,1,1,1,1,2,2,4,2,1,1,2,4,1,5,1,2,2,3,4,2,2,2,3,1,1,1,1,1,4,4,2,2,1,1,1,1,1,1,4,2,5,4,4,4,4,2,2,2,2,2,5,5,4,3,1,1,1,1,2,2,2,1,1,1
290823,2024/12/10 16:13,女性,60代以上,中国・四国・九州・沖縄地方,未婚,子どもなし,わからない,自営業・自由業,住宅,4.6,5.5,3.5,-2,3.5,5,5,5.5,4.75,4,4,4,4,4,5,3,5,5,4,4,2,3,2,2,2,4,4,3,4,5,5,5,5,4,5,5,4,5,3,3,3,5,5,4,4,3,4,4,5,4,4,4,5,5,5,4,4,3,4,3,4,4,3,4,4,5,4,4,5,5,4,4,4,4,4,3,5,3,5,3,3,4,5,4,3,3,4,2,4,4
1571963,2024/12/10 14:21,女性,60代以上,関東地方,既婚,子どもあり,400〜800万未満,自営業・自由業,住宅,3.8,4.5,2,-1.75,2,5,3,3.5,3.375,3,4,3,3,3,4,4,5,5,5,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,5,4,4,4,5,5,5,3,4,3,3,3,4,4,4,4,4,4,5,5,5,2,3,5,4,3,3,3,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,4,5,4,4,4,2,1,1,2
2014395,2024/12/10 16:13,女性,60代以上,中国・四国・九州・沖縄地方,未婚,子どもなし,400万未満,自営業・自由業,住宅,3.8,3.75,3,-2,3.5,4.5,4,5.5,4.375,5,3,2,3,2,4,3,4,4,5,4,2,3,2,1,1,4,4,3,4,5,4,3,5,3,5,4,3,5,2,5,2,5,5,2,5,4,5,5,4,2,5,3,5,5,5,2,3,4,4,2,3,3,2,3,3,4,4,4,4,1,2,3,2,3,3,4,5,3,5,3,2,3,3,5,3,3,2,1,1,3
2331059,2024/12/10 3:20,女性,60代以上,関東地方,既婚,子どもあり,1200万以上,自営業・自由業,住宅,5.8,4,2.625,-1.25,1,5,3.5,6,3.875,4,5,4,4,5,5,4,4,3,5,5,5,4,4,2,3,5,5,5,5,5,5,5,5,2,5,5,5,5,3,5,3,5,5,4,4,3,3,5,4,3,5,5,3,4,5,4,3,4,5,4,5,4,5,5,5,4,4,4,4,4,1,4,4,4,5,5,5,4,5,5,4,1,5,5,5,1,4,4,5,4
3029323,2024/12/10 14:50,女性,60代以上,北海道・東北地方,未婚,子どもあり,400〜800万未満,会社員,住宅,3,3.75,2.75,-4,3,4.5,3.5,3.5,3.625,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,2,3,4,2,2,3,3,3,2,2,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,3,3,3,2,3,2,3,2,2,2,2,3,2,3,2,2,4,2
3171031,2024/12/9 16:22,女性,60代以上,中国・四国・九州・沖縄地方,既婚,子どもあり,800～1200万未満,自営業・自由業,住宅,5,5,3.875,-3.125,4.5,5,4.5,4,4.5,4,4,4,4,4,4,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,4,3,3,3,4,2,4,4,3,4,4,4,4,3,4,4,4,4,3,3,3,3,4,4,3,3,3,3,4,4,4,4,3,3,4,4,3,3,3,3,4,4,3,3,3,3,4,3,3,3,3,3
3251282,2024/12/10 14:13,女性,60代以上,関東地方,既婚,子どもあり,400〜800万未満,会社員,住宅,4,6,4,-3.125,5,5,5,4.5,4.875,4,3,3,3,4,3,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,3,3,4,3,4,4,3,4,2,4,3,4,4,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,3,3,3,4,3,4,4,4,4,4,3,3,3,3,4,4,3,3,2,4,3,3,3,4,4,2,3,3,2,2,3
3296664,2024/12/10 16:13,女性,60代以上,関東地方,未婚,子どもなし,400〜800万未満,自営業・自由業,住宅,1.8,5.25,1.375,-3,2.5,4,3,5,3.625,3,2,1,2,1,1,3,3,3,3,2,1,1,1,1,1,3,3,2,3,4,2,2,3,3,3,3,1,5,3,5,1,5,4,3,3,3,3,4,3,2,1,3,4,4,1,1,2,3,2,2,1,3,3,1,3,4,3,3,5,3,2,1,3,3,4,3,5,4,5,1,3,3,2,3,1,2,3,1,1,3
3304498,2024/12/9 20:32,女性,60代以上,近畿地方,未婚,子どもあり,400〜800万未満,会社員,住宅,3.4,4.75,2,-2.625,2.5,4.5,3,4.5,3.625,3,3,2,3,3,2,2,3,3,2,3,4,2,3,2,2,3,3,1,3,4,3,3,4,3,4,3,3,3,2,3,2,4,3,3,3,3,2,3,3,3,3,3,3,2,3,1,3,3,1,1,1,3,3,3,4,3,3,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,1,3,3
3822875,2024/12/9 21:43,女性,60代以上,関東地方,既婚,子どもあり,1200万以上,自営業・自由業,住宅,4.8,5.75,4.25,-1.625,5,6,4,5,5,4,4,4,3,4,4,5,5,5,4,4,4,4,3,4,4,4,4,4,4,4,4,4,5,3,4,4,4,4,4,4,4,3,4,2,1,1,2,2,4,4,5,4,4,5,4,5,4,5,5,4,5,4,5,5,5,4,4,5,4,5,4,5,4,4,5,4,5,4,4,4,4,4,4,3,4,4,4,4,2,4
3991801,2024/12/10 10:23,女性,60代以上,関東地方,未婚,子どもなし,400〜800万未満,会社員,住宅,2.8,5.5,3,-2.5,5,5,3.5,5,4.625,4,4,4,2,2,4,4,4,4,4,4,4,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,5,4,4,4,4,4,4,4,3,4,2,4,4,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,3,2,4,4,4,4,4,4,1,1,2
4107847,2024/12/10 15:35,女性,60代以上,中部地方,既婚,子どもあり,400〜800万未満,会社員,住宅,4.4,4,4,-4,2.5,4.5,4,4,3.75,4,3,3,3,4,4,3,3,4,2,2,3,4,4,4,4,4,4,3,3,3,3,3,4,3,4,3,2,3,3,3,3,4,2,3,2,3,4,3,3,3,4,3,4,3,4,4,3,4,3,4,4,3,4,4,3,3,4,3,4,3,3,3,3,3,4,3,4,4,2,4,3,3,3,3,4,3,4,3,2,4
4189328,2024/12/10 16:16,女性,60代以上,中部地方,未婚,子どもあり,400万未満,自営業・自由業,住宅,2.8,3.25,3.625,-1.625,2.5,4,2,7,3.875,3,4,4,3,5,4,4,4,3,4,1,1,1,1,1,3,4,3,2,3,5,2,3,5,1,5,5,1,5,3,4,1,5,5,5,5,4,4,4,4,3,4,3,3,3,4,1,2,2,1,1,5,3,3,5,5,5,5,1,4,3,3,5,4,3,3,2,5,4,5,3,5,1,1,5,1,1,1,1,1,1
4524505,2024/12/9 18:59,女性,60代以上,中部地方,既婚,子どもあり,400〜800万未満,公務員,住宅,4,4,3.75,-3.5,3.5,4.5,3.5,4,3.875,3,4,4,3,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,4,2,3,3,2,3,4,4,4,4,4,4,4,3,3,3,4,3,3,3,4,3,4,4,4,4,4,3,4,3,3,3,3,4,4,4,3,3,2,3,3,4,4,2,3,2,4,3
6406774,2024/12/10 16:15,女性,60代以上,中国・四国・九州・沖縄地方,未婚,子どもなし,400〜800万未満,自営業・自由業,住宅,3.2,4,3.375,-3.75,4,4.5,3.5,3.5,3.875,3,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,4,3,4,4,4,3,4,4,4,4,4,2,3,1,1,1,1,2,2,2,2,1,4,4,4,3,4,4,2,2,2,2,4,4,4,3,3,4,4,3,4,3,3,3,3,3,2,2,3
6604504,2024/12/10 14:41,女性,60代以上,関東地方,既婚,子どもなし,1200万以上,自営業・自由業,住宅,5.8,6.75,4.875,-1.125,6,7,5.5,6.5,6.25,5,5,4,4,5,5,4,5,5,5,5,5,5,4,3,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,2,4,5,4,4,2,3,5,5,5,5,5,5,5,5,3,4,5,4,4,4,4,3,4,4,5,5,5,5,5,5,3,5,5,3,4,3,5,5,5,4,4,5,5,5,2,4,5,4,5,5
6677470,2024/12/10 15:22,女性,60代以上,中部地方,既婚,子どもなし,わからない,自営業・自由業,住宅,1.2,6.25,2.375,-2.75,2,5.5,1,2.5,2.75,1,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,2,3,3,4,3,3,3,4,3,3,3,2,3,3,3,3,3,2,2,1,5,5,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,2,3,1,2,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,3
7000875,2024/12/10 16:14,女性,60代以上,関東地方,未婚,子どもなし,400〜800万未満,自営業・自由業,住宅,4.2,7,3.25,-1.625,5.5,4.5,5.5,5,5.125,3,3,2,3,2,4,2,3,3,3,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,3,2,4,2,4,4,2,2,2,5,5,3,1,3,3,5,5,5,3,3,3,4,2,4,3,3,3,3,3,3,3,3,4,2,1,2,3,4,3,3,2,4,3,4,3,4,2,3,3,3,4,2,3
7042680,2024/12/10 16:14,女性,60代以上,関東地方,未婚,子どもなし,800～1200万未満,自営業・自由業,住宅,2,7,2.5,-4.5,3,1.5,1,4,2.375,1,2,4,2,3,2,4,5,1,1,1,3,3,1,1,1,2,3,3,1,1,1,1,1,3,1,1,3,1,3,5,1,1,1,2,2,4,1,2,1,5,4,4,4,3,1,1,3,3,3,3,2,3,3,2,4,3,5,5,5,4,4,3,3,3,1,3,4,4,1,3,3,3,4,1,3,1,3,1,1,1
7340927,2024/12/9 18:43,女性,60代以上,関東地方,既婚,子どもあり,800～1200万未満,会社員,住宅,4.6,4.75,2.75,-2.75,4.5,4,4,4,4.125,3,4,4,4,4,4,3,3,3,4,2,2,2,3,3,3,4,3,3,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,3,4,4,4,4,4,4,3,5,4,4,2,2,3,3,4,2,2,4,2,2,4,4,5,3,3,3,3,3,2,3,3,4,3,4,4,4,4,5,5,4,4,3,3,3,2,2
7404370,2024/12/10 14:16,女性,60代以上,近畿地方,既婚,子どもあり,400万未満,自営業・自由業,住宅,4.6,6.5,4.5,-1.5,4,6,6.5,7,5.875,5,4,4,4,3,3,5,5,5,5,5,3,4,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,5,5,2,4,4,4,5,4,5,5,5,5,5,5,4,4,4,5,4,5,5,5,4,5,5,4,5,5,5,5,5,5,3,5,4,5,4,5,5,5,5,5,5,3,5,5,5,5,4
7930623,2024/12/10 14:23,女性,60代以上,近畿地方,既婚,子どもあり,1200万以上,会社員,住宅,5.6,5.75,3.75,-1.375,5,6.5,4,4.5,5,4,4,3,1,4,4,2,5,5,5,5,4,1,1,1,1,4,3,3,3,5,4,4,4,4,5,5,5,5,1,4,1,5,5,4,4,4,5,5,4,4,4,5,1,1,1,1,1,1,1,1,5,5,1,3,5,5,5,5,5,3,1,1,1,1,1,1,5,5,3,4,1,3,5,5,4,1,1,1,5,1
8981345,2024/12/10 15:40,女性,60代以上,中部地方,未婚,子どもあり,400万未満,自営業・自由業,住宅,2.6,4.75,3.625,-3.75,4,4,3,5,4,2,2,2,4,3,2,2,4,4,3,2,2,2,2,4,3,3,2,2,2,3,2,2,3,3,2,3,2,5,1,4,2,4,4,2,1,2,2,4,3,1,4,4,4,4,4,3,4,4,4,3,4,4,5,2,4,3,3,4,4,4,3,4,3,3,3,2,4,2,4,4,4,2,4,4,4,2,3,2,3,2
9046594,2024/12/10 15:00,女性,60代以上,北海道・東北地方,未婚,子どもあり,400〜800万未満,会社員,住宅,3,5.25,4.875,-1.5,6,6,3.5,4.5,5,2,3,3,3,3,3,2,2,2,3,3,2,2,3,3,3,4,3,3,2,2,2,4,2,3,1,1,2,3,2,3,3,3,2,2,2,2,4,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,3,2,2,3,3,4,2,3,4,4,4,4,2,4,2,3,3,3,2,2,2,2,1
9059754,2024/12/9 16:56,女性,60代以上,関東地方,未婚,子どもあり,400万未満,会社員,住宅,5.2,5,3.75,-2.25,4,5,4,4,4.25,5,4,4,3,3,4,4,4,4,5,5,3,2,2,2,3,5,5,4,5,5,4,3,4,4,5,5,3,5,2,5,1,4,4,2,3,2,4,4,4,4,5,5,4,4,4,5,4,4,4,2,3,4,3,4,4,4,4,2,5,4,3,3,3,3,3,3,5,4,4,4,2,4,4,4,2,3,4,2,3,3
9092965,2024/12/10 15:15,女性,60代以上,近畿地方,未婚,子どもなし,わからない,会社員,住宅,4.6,5.5,3.125,-2,5,3.5,3,4.5,4,5,5,5,5,5,5,5,5,5,5,5,3,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,3,5,1,5,1,5,5,4,5,4,3,2,5,5,5,4,5,5,5,2,3,4,5,3,2,2,3,3,4,5,5,5,5,5,5,5,5,4,5,3,5,5,5,5,4,5,5,3,3,3,5,5,5,5
9305250,2024/12/10 16:14,女性,60代以上,関東地方,未婚,子どもなし,400万未満,会社員,住宅,4.4,3.5,4.625,-3.625,3,3,3,5,3.5,4,3,4,2,3,4,3,4,4,3,2,2,3,2,2,3,3,2,2,2,3,4,3,3,3,3,4,3,4,2,3,3,4,2,3,3,3,1,2,3,3,4,4,3,3,2,2,2,2,2,1,3,2,2,2,3,2,4,4,4,3,4,3,3,3,4,3,3,3,5,4,4,4,3,4,3,2,2,2,3,2
13775176,2024/12/10 14:45,女性,60代以上,関東地方,未婚,子どもなし,400万未満,自営業・自由業,住宅,4.4,5,3,-3,5,4.5,5,5,4.875,4,4,4,3,3,4,4,4,4,4,4,2,2,2,2,2,4,3,3,4,4,4,4,4,2,4,4,2,4,2,5,1,4,4,4,4,4,4,4,4,3,4,3,3,3,3,2,3,3,2,4,3,3,3,2,4,4,4,2,4,4,3,2,2,2,2,3,3,2,4,3,2,2,3,4,2,3,3,3,1,3
15971373,2024/12/10 14:45,女性,60代以上,関東地方,既婚,子どもあり,,会社員,住宅,4.2,6,4.75,-3,5,6.5,6,6,5.875,5,5,4,4,4,4,4,5,2,4,3,4,4,3,2,2,4,2,3,5,2,4,4,4,4,4,4,3,4,3,3,3,4,3,3,5,3,5,5,4,3,2,2,3,4,4,1,2,4,4,2,3,4,3,1,2,4,2,3,5,5,2,5,5,4,4,4,5,4,4,3,2,2,4,3,4,2,4,2,4,4
24335450,2024/12/10 14:24,女性,60代以上,関東地方,既婚,子どもなし,400〜800万未満,自営業・自由業,住宅,6,5.5,4.375,-2.125,4,5,4.5,5,4.625,4,4,4,4,4,4,4,5,5,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,3,4,4,4,3,3,4,4,4,4,4,5,5,5,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4
25291620,2024/12/10 14:59,女性,60代以上,中国・四国・九州・沖縄地方,既婚,子どもあり,400〜800万未満,会社員,住宅,4,3.75,3.125,-2.25,4,5,4.5,3.5,4.25,3,3,3,3,2,3,5,4,4,4,3,1,2,1,1,1,4,3,3,3,5,5,4,4,5,3,5,1,3,3,2,2,5,3,3,3,3,2,3,3,3,4,4,5,5,5,5,3,4,4,2,4,4,3,3,5,5,3,3,4,5,5,5,5,4,4,3,5,5,5,5,3,1,3,3,3,3,2,1,2,2
27923328,2024/12/10 15:35,女性,60代以上,関東地方,未婚,子どもなし,400万未満,自営業・自由業,住宅,3.2,5.75,3.25,-2.125,3.5,4.5,5,5.5,4.625,4,4,3,4,3,4,4,5,5,4,3,2,1,1,1,2,4,3,3,4,5,4,4,3,3,3,4,1,4,1,5,2,5,3,4,4,3,3,3,4,1,4,3,5,5,4,1,2,4,4,3,3,2,5,3,4,4,4,2,5,5,3,5,5,3,3,4,5,4,5,3,3,3,5,5,3,1,3,2,2,3
28208373,2024/12/9 17:46,女性,60代以上,中部地方,未婚,子どもなし,400万未満,会社員,住宅,5,5,4.25,-2.25,4.5,6,4.5,5,5,5,5,5,3,4,5,5,4,4,5,5,3,3,3,3,3,5,4,4,4,5,5,4,4,4,5,4,3,3,3,5,2,5,5,4,4,4,2,4,4,4,4,4,5,5,3,2,3,3,5,4,3,3,2,3,4,4,5,5,5,5,4,3,3,4,4,4,5,5,4,4,2,3,3,5,4,2,4,3,5,5
28665807,2024/12/10 16:19,女性,60代以上,中国・四国・九州・沖縄地方,既婚,子どもあり,400万未満,会社員,住宅,3.8,5,2.75,-1.875,1,5,3.5,5,3.625,4,4,4,3,3,4,4,4,3,4,4,5,4,2,2,2,4,4,4,4,4,4,4,4,4,4,5,4,5,3,5,4,5,4,3,4,4,2,4,4,4,4,4,5,5,2,1,2,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,5,4,4,3,3,4,3,4,4
29841678,2024/12/10 15:58,女性,60代以上,関東地方,既婚,子どもなし,,自営業・自由業,住宅,4.4,5,4,-2.125,4,5.5,3.5,3.5,4.125,4,4,2,2,3,4,4,4,4,4,3,2,2,2,1,1,3,3,3,3,4,4,3,3,3,4,4,3,4,3,3,3,4,3,5,5,2,3,2,4,2,2,4,5,5,5,5,2,4,4,3,4,3,2,2,4,3,4,3,4,4,2,1,3,2,4,2,4,4,4,4,1,4,4,2,3,3,2,1,1,3
32402523,2024/12/10 16:04,女性,60代以上,近畿地方,未婚,子どもなし,400万未満,自営業・自由業,住宅,1.6,4.25,2.375,-4.625,3,3.5,3.5,4,3.5,2,2,1,1,3,2,2,2,2,2,2,2,2,1,1,1,3,3,2,2,2,2,2,2,2,5,3,3,2,2,4,2,2,2,3,3,3,3,4,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,3,3,4,3,3,3,3,3,3,3,2,2,3,3,3,3,3,2,2,2,1,2,2,2
38264188,2024/12/9 23:25,女性,60代以上,関東地方,既婚,子どもなし,1200万以上,経営者・役員,住宅,4.6,4,3.375,-3,4.5,6,3,3.5,4.25,4,4,2,4,4,4,4,5,5,5,3,3,3,3,3,5,4,4,5,5,4,4,4,4,4,5,4,4,4,4,2,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,4,5,4,2,3,4,4,4,3
39140587,2024/12/10 16:14,女性,60代以上,関東地方,既婚,子どもあり,800～1200万未満,自営業・自由業,住宅,4,5,3.625,-3,4.5,4.5,4,3.5,4.125,4,4,3,3,3,4,4,4,4,4,4,3,3,4,2,2,4,3,3,3,4,4,4,4,3,5,5,3,4,3,4,2,4,3,3,4,3,4,4,4,4,4,4,5,5,4,5,4,5,4,3,5,4,2,4,4,5,4,4,3,5,4,4,3,3,2,3,5,4,4,2,5,3,4,4,2,3,4,3,1,2
39777666,2024/12/10 14:27,女性,60代以上,北海道・東北地方,未婚,子どもなし,800～1200万未満,会社員,住宅,3.4,5,3,-3.75,4,4,3,4,3.75,3,2,1,1,1,2,4,4,4,3,3,1,4,1,1,1,1,4,4,4,4,3,2,4,2,3,4,1,5,1,5,1,5,5,3,4,3,5,1,4,1,1,3,5,5,4,4,4,5,2,2,2,3,4,1,5,4,4,4,4,5,5,1,3,3,3,4,5,5,5,4,3,1,1,1,3,3,4,4,1,4
43456494,2024/12/10 16:15,女性,60代以上,関東地方,未婚,子どもなし,,自営業・自由業,住宅,4,5.5,3,-2.625,3.5,6,2,4,3.875,4,3,2,4,2,4,3,4,4,4,2,4,3,3,3,4,5,4,4,5,5,4,5,4,3,5,5,4,3,3,3,3,3,4,3,3,3,4,4,5,4,2,4,5,5,4,4,5,4,2,4,5,4,5,3,4,4,4,4,5,3,4,1,4,4,5,2,4,2,5,5,4,4,5,3,2,3,4,5,5,5
46192228,2024/12/9 16:14,女性,60代以上,中国・四国・九州・沖縄地方,未婚,子どもあり,400万未満,自営業・自由業,住宅,3.4,4.25,3.375,-2.375,3,5.5,3.5,4,4,5,5,4,4,3,5,2,5,5,5,5,3,2,2,2,1,5,1,1,4,5,5,5,5,5,5,5,1,5,1,5,1,5,4,5,5,4,2,3,5,4,4,4,3,3,2,1,1,1,2,1,3,2,2,2,4,4,4,4,4,2,1,1,1,2,2,3,5,5,5,5,2,1,1,5,2,2,2,2,2,3
